strategy_id,symbol,exchange,instrument_id,position_type,open_datetime,close_datetime,entry_price,exit_price,quantity,realized_pnl,fees,duration_seconds,return_pct,order_ids
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-08-15 20:00:00+00:00,2023-08-17 23:00:00+00:00,1828.95,1681.0,0.0,3465.66682698,33.20272302,183600.0,8.089340878646222,"BINANCE-1-521,BINANCE-1-522"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-08-28 13:00:00+00:00,2023-08-31 14:00:00+00:00,1648.43,1704.54,0.0,1494.64087948,36.60102052,262800.0,3.4038448705738134,"BINANCE-1-523,BINANCE-1-524"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-09-01 17:00:00+00:00,2023-09-03 21:00:00+00:00,1605.5,1636.29,0.0,-913.99010526,36.936955260000005,187200.0,-1.9177826222360528,"BINANCE-1-525,BINANCE-1-526"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-09-06 18:00:00+00:00,2023-09-06 19:00:00+00:00,1627.49,1630.68,0.0,52.48699751,36.255612490000004,3600.0,0.19600734873947978,"BINANCE-1-527,BINANCE-1-528"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-09-14 15:00:00+00:00,2023-09-15 15:00:00+00:00,1634.02,1618.62,0.0,-463.02007654,36.07047654,86400.0,-0.9424609245908933,"BINANCE-1-529,BINANCE-1-530"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-09-18 03:00:00+00:00,2023-09-20 20:00:00+00:00,1629.35,1624.12,0.0,-180.66472347,35.99769347,234000.0,-0.3209868966152163,"BINANCE-1-531,BINANCE-1-532"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-09-24 19:00:00+00:00,2023-09-27 10:00:00+00:00,1585.23,1616.02,0.0,-909.968367,36.332907,226800.0,-1.9423049021277672,"BINANCE-1-533,BINANCE-1-534"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-09-30 16:00:00+00:00,2023-10-01 23:00:00+00:00,1680.1,1733.39,0.0,-1448.4226494,36.184359400000005,111600.0,-3.171835009820856,"BINANCE-1-535,BINANCE-1-536"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-10-04 01:00:00+00:00,2023-10-06 22:00:00+00:00,1638.3,1644.24,0.0,-193.90938276,35.10348276,248400.0,-0.362570957700048,"BINANCE-1-537,BINANCE-1-538"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-10-08 15:00:00+00:00,2023-10-09 09:00:00+00:00,1630.63,1591.58,0.0,-1081.16276896,34.544668959999996,64800.0,-2.3947799316828555,"BINANCE-1-539,BINANCE-1-540"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-10-15 19:00:00+00:00,2023-10-15 23:00:00+00:00,1559.76,1557.25,0.0,-103.96203709,34.50280709,14400.0,-0.16092219315791967,"BINANCE-1-541,BINANCE-1-542"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-10-16 14:00:00+00:00,2023-10-16 20:00:00+00:00,1586.09,1586.8,0.0,-53.79543924,34.49692924,21600.0,-0.044764168489819234,"BINANCE-1-543,BINANCE-1-544"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-10-20 03:00:00+00:00,2023-10-25 17:00:00+00:00,1586.11,1790.43,0.0,5513.25737759,36.68678241,482400.0,12.881830390073844,"BINANCE-1-545,BINANCE-1-546"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-10-26 11:00:00+00:00,2023-10-30 09:00:00+00:00,1812.89,1817.4,0.0,-150.75806518,36.71820518,338400.0,-0.2487740568925867,"BINANCE-1-547,BINANCE-1-548"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-10-30 10:00:00+00:00,2023-10-30 18:00:00+00:00,1814.5,1800.21,0.0,-396.89046625,36.46808625,28800.0,-0.7875447781758083,"BINANCE-1-549,BINANCE-1-550"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-11-01 19:00:00+00:00,2023-11-02 17:00:00+00:00,1836.87,1805.09,0.0,-824.50490069,36.138440689999996,79200.0,-1.7301169924926585,"BINANCE-1-551,BINANCE-1-552"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-11-07 16:00:00+00:00,2023-11-08 22:00:00+00:00,1859.02,1891.47,0.0,751.73978936,36.43826064,108000.0,1.7455433507977292,"BINANCE-1-553,BINANCE-1-554"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-11-09 15:00:00+00:00,2023-11-13 00:00:00+00:00,2039.56,2055.42,0.0,317.49210659,36.566533410000005,291600.0,0.7776187020730019,"BINANCE-1-555,BINANCE-1-556"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-11-13 02:00:00+00:00,2023-11-13 06:00:00+00:00,2065.01,2041.64,0.0,-553.4051025,36.3438525,14400.0,-1.1317136478757983,"BINANCE-1-557,BINANCE-1-558"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-11-13 22:00:00+00:00,2023-11-14 20:00:00+00:00,2060.0,1976.26,0.0,1810.45655932,35.59174068,79200.0,4.06504854368932,"BINANCE-1-559,BINANCE-1-560"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-11-20 12:00:00+00:00,2023-11-20 16:00:00+00:00,2020.5,2020.89,0.0,-45.99828974,37.05792974,14400.0,-0.019302152932443306,"BINANCE-1-561,BINANCE-1-562"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-11-22 17:00:00+00:00,2023-11-22 19:00:00+00:00,2034.29,2077.35,0.0,-1017.34385659,37.42743659,7200.0,-2.1167090237871555,"BINANCE-1-563,BINANCE-1-564"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-11-24 17:00:00+00:00,2023-11-26 21:00:00+00:00,2104.87,2073.9,0.0,637.30079798,36.358642020000005,187200.0,1.4713497745703963,"BINANCE-1-565,BINANCE-1-566"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-11-28 18:00:00+00:00,2023-11-28 23:00:00+00:00,2057.02,2048.2,0.0,-234.48677834,36.80411834,18000.0,-0.4287756074321192,"BINANCE-1-567,BINANCE-1-568"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-12-02 19:00:00+00:00,2023-12-09 09:00:00+00:00,2159.1,2360.05,0.0,4241.53269966,38.50135034,568800.0,9.307118706868621,"BINANCE-1-569,BINANCE-1-570"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-12-13 03:00:00+00:00,2023-12-13 05:00:00+00:00,2167.28,2174.67,0.0,125.48452434,38.55130566,7200.0,0.3409803993946303,"BINANCE-1-571,BINANCE-1-572"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-12-20 16:00:00+00:00,2023-12-21 13:00:00+00:00,2224.76,2253.5,0.0,-661.06379421,38.785314209999996,75600.0,-1.2918247361513036,"BINANCE-1-573,BINANCE-1-574"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-12-21 15:00:00+00:00,2023-12-21 18:00:00+00:00,2234.5,2231.96,0.0,16.13063656,38.25076344,10800.0,0.11367196240769095,"BINANCE-1-575,BINANCE-1-576"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2023-12-22 09:00:00+00:00,2023-12-24 23:00:00+00:00,2318.03,2265.43,0.0,-1123.61391252,37.84471252,223200.0,-2.2691682161145588,"BINANCE-1-577,BINANCE-1-578"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-12-25 17:00:00+00:00,2023-12-27 15:00:00+00:00,2281.85,2345.01,0.0,-1347.21764791,38.352967910000004,165600.0,-2.7679295308631335,"BINANCE-1-579,BINANCE-1-580"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2023-12-29 16:00:00+00:00,2024-01-02 01:00:00+00:00,2300.87,2382.05,0.0,-1682.57413051,37.948510510000006,291600.0,-3.528230625806783,"BINANCE-1-581,BINANCE-1-582"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-01-02 02:00:00+00:00,2024-01-02 09:00:00+00:00,2385.0,2417.03,0.0,-651.55003309,36.86230309,25200.0,-1.3429769392033553,"BINANCE-1-583,BINANCE-1-584"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-01-03 12:00:00+00:00,2024-01-08 19:00:00+00:00,2249.55,2355.24,0.0,-2172.35976703,37.21038703,457200.0,-4.698272987930907,"BINANCE-1-585,BINANCE-1-586"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2024-01-11 00:00:00+00:00,2024-01-12 17:00:00+00:00,2607.06,2604.52,0.0,-78.68811348,35.47001348,147600.0,-0.0974277538683399,"BINANCE-1-587,BINANCE-1-588"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-01-16 14:00:00+00:00,2024-01-16 16:00:00+00:00,2535.18,2575.37,0.0,-738.33863404,35.737054040000004,7200.0,-1.5852917741540962,"BINANCE-1-589,BINANCE-1-590"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-01-18 17:00:00+00:00,2024-01-22 09:00:00+00:00,2481.42,2389.26,0.0,1597.83012633,34.50779367,316800.0,3.7140024663297577,"BINANCE-1-591,BINANCE-1-592"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2024-01-26 12:00:00+00:00,2024-02-01 02:00:00+00:00,2246.62,2259.77,0.0,226.02973704,35.90511296,482400.0,0.5853237307599901,"BINANCE-1-593,BINANCE-1-594"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-02-04 19:00:00+00:00,2024-02-05 09:00:00+00:00,2278.82,2320.39,0.0,-854.60644891,36.217858910000004,50400.0,-1.8241897122194706,"BINANCE-1-595,BINANCE-1-596"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-02-05 16:00:00+00:00,2024-02-06 03:00:00+00:00,2300.31,2315.79,0.0,-334.69484148,35.66768148,39600.0,-0.6729527759302023,"BINANCE-1-597,BINANCE-1-598"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2024-02-07 17:00:00+00:00,2024-02-09 15:00:00+00:00,2409.59,2494.24,0.0,1519.1525341,36.0372659,165600.0,3.513045787872615,"BINANCE-1-599,BINANCE-1-600"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2024-02-18 23:00:00+00:00,2024-02-28 12:00:00+00:00,2883.58,3315.79,0.0,6710.23788498,38.721265020000004,824400.0,14.988659929670757,"BINANCE-1-601,BINANCE-1-602"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-02-28 18:00:00+00:00,2024-02-29 01:00:00+00:00,3322.06,3423.62,0.0,-1518.41747341,39.29763341,25200.0,-3.0571392449263435,"BINANCE-1-603,BINANCE-1-604"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2024-03-03 17:00:00+00:00,2024-03-04 01:00:00+00:00,3463.84,3482.04,0.0,212.03223836,38.19956164,28800.0,0.5254284262552478,"BINANCE-1-605,BINANCE-1-606"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-03-05 16:00:00+00:00,2024-03-06 09:00:00+00:00,3695.0,3796.87,0.0,-1354.56378392,38.70899392,61200.0,-2.7569688768606104,"BINANCE-1-607,BINANCE-1-608"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-03-08 16:00:00+00:00,2024-03-08 18:00:00+00:00,3908.63,3931.75,0.0,-316.07155778,37.75299778,7200.0,-0.5915116038100354,"BINANCE-1-609,BINANCE-1-610"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2024-03-12 13:00:00+00:00,2024-03-12 16:00:00+00:00,4028.94,3925.46,0.0,-1241.43622464,37.03250464,10800.0,-2.568417499391895,"BINANCE-1-611,BINANCE-1-612"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-03-15 03:00:00+00:00,2024-03-15 20:00:00+00:00,3724.84,3632.19,0.0,1114.43239652,36.55855348,61200.0,2.4873551615639866,"BINANCE-1-613,BINANCE-1-614"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2024-03-20 16:00:00+00:00,2024-03-20 18:00:00+00:00,3243.41,3400.66,0.0,-2308.9062407,38.373490700000005,7200.0,-4.848292383633268,"BINANCE-1-615,BINANCE-1-616"
