trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250501-140000-001-001-55,O-20250501-160000-001-001-56,SELL,FLAT,0.000,5.661,1746108000000000000,2025-05-01 14:00:00+00:00,1746115200000000000,2025-05-01 16:00:00+00:00,7200000000000,1847.63,1858.69,['8.39259101 USDT'],-0.00599,-71.00325101 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250505-110000-001-001-57,O-20250505-190000-001-001-58,SELL,FLAT,0.000,5.779,1746442800000000000,2025-05-05 11:00:00+00:00,1746471600000000000,2025-05-05 19:00:00+00:00,28800000000000,1803.81,1815.65,['8.36674374 USDT'],-0.00656,-76.79010374 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250508-150000-001-001-59,O-20250508-160000-001-001-60,SELL,FLAT,0.000,5.065,1746716400000000000,2025-05-08 15:00:00+00:00,1746720000000000000,2025-05-08 16:00:00+00:00,3600000000000,2050.56,2049.8,['8.30732936 USDT'],0.00037,-4.45792936 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250511-010000-001-001-61,O-20250512-080000-001-001-62,SELL,FLAT,0.000,4.101,1746925200000000000,2025-05-11 01:00:00+00:00,1747036800000000000,2025-05-12 08:00:00+00:00,111600000000000,2531.81,2576.72,['8.38003261 USDT'],-0.01774,-192.55594261 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250518-180000-001-001-63,O-20250519-180000-001-001-64,SELL,FLAT,0.000,4.179,1747591200000000000,2025-05-18 18:00:00+00:00,1747677600000000000,2025-05-19 18:00:00+00:00,86400000000000,2461.59,2488.87,['8.27518893 USDT'],-0.01108,-122.27830893 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250521-080000-001-001-65,O-20250521-170000-001-001-66,SELL,FLAT,0.000,4.031,1747814400000000000,2025-05-21 08:00:00+00:00,1747846800000000000,2025-05-21 17:00:00+00:00,32400000000000,2537.0,2471.5,['8.07570540 USDT'],0.02582,255.95479460 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250529-050000-001-001-67,O-20250602-140000-001-001-68,SELL,FLAT,0.000,3.804,1748494800000000000,2025-05-29 05:00:00+00:00,1748872800000000000,2025-06-02 14:00:00+00:00,378000000000000,2721.92,2530.36,['7.99186925 USDT'],0.07038,720.70237075 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250602-160000-001-001-69,O-20250605-200000-001-001-70,BUY,FLAT,0.000,4.210,1748880000000000000,2025-06-02 16:00:00+00:00,1749153600000000000,2025-06-05 20:00:00+00:00,273600000000000,2545.19,2397.53,['8.32354048 USDT'],-0.05802,-629.97214048 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250608-230000-001-001-71,O-20250609-110000-001-001-72,SELL,FLAT,0.000,4.146,1749423600000000000,2025-06-08 23:00:00+00:00,1749466800000000000,2025-06-09 11:00:00+00:00,43200000000000,2508.32,2540.74,['8.37336111 USDT'],-0.01292,-142.78668111 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250611-150000-001-001-73,O-20250611-190000-001-001-74,BUY,FLAT,0.000,3.606,1749654000000000000,2025-06-11 15:00:00+00:00,1749668400000000000,2025-06-11 19:00:00+00:00,14400000000000,2864.01,2811.94,['8.18699028 USDT'],-0.01818,-195.95141028 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250612-210000-001-001-75,O-20250616-210000-001-001-76,SELL,FLAT,0.000,3.886,1749762000000000000,2025-06-12 21:00:00+00:00,1750107600000000000,2025-06-16 21:00:00+00:00,345600000000000,2632.32,2647.68,['8.20723200 USDT'],-0.00584,-67.89619200 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250623-150000-001-001-77,O-20250623-190000-001-001-78,SELL,FLAT,0.000,4.537,1750690800000000000,2025-06-23 15:00:00+00:00,1750705200000000000,2025-06-23 19:00:00+00:00,14400000000000,2247.17,2311.57,['8.27320136 USDT'],-0.02866,-300.45600136 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250623-230000-001-001-79,O-20250702-020000-001-001-80,BUY,FLAT,0.000,4.168,1750719600000000000,2025-06-23 23:00:00+00:00,1751421600000000000,2025-07-02 02:00:00+00:00,702000000000000,2410.39,2416.86,['8.04799120 USDT'],0.00268,18.91896880 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250706-220000-001-001-81,O-20250707-020000-001-001-82,BUY,FLAT,0.000,3.895,1751839200000000000,2025-07-06 22:00:00+00:00,1751853600000000000,2025-07-07 02:00:00+00:00,14400000000000,2581.54,2575.49,['8.03465274 USDT'],-0.00234,-31.59940274 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250708-150000-001-001-83,O-20250708-180000-001-001-84,SELL,FLAT,0.000,3.916,1751986800000000000,2025-07-08 15:00:00+00:00,1751997600000000000,2025-07-08 18:00:00+00:00,10800000000000,2563.83,2623.8,['8.12590363 USDT'],-0.02339,-242.96842363 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250709-130000-001-001-85,O-20250721-170000-001-001-86,BUY,FLAT,0.000,3.738,1752066000000000000,2025-07-09 13:00:00+00:00,1753117200000000000,2025-07-21 17:00:00+00:00,1051200000000000,2653.6,3768.62,['9.60250334 USDT'],0.42019,4158.34225666 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250729-010000-001-001-87,O-20250729-030000-001-001-88,BUY,FLAT,0.000,3.194,1753750800000000000,2025-07-29 01:00:00+00:00,1753758000000000000,2025-07-29 03:00:00+00:00,7200000000000,3756.76,3790.46,['9.64232828 USDT'],0.00897,97.99547172 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250802-180000-001-001-89,O-20250803-110000-001-001-90,SELL,FLAT,0.000,3.562,1754157600000000000,2025-08-02 18:00:00+00:00,1754218800000000000,2025-08-03 11:00:00+00:00,61200000000000,3382.05,3483.4,['9.78189316 USDT'],-0.02997,-370.79059316 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250804-140000-001-001-91,O-20250805-150000-001-001-92,BUY,FLAT,0.000,3.260,1754316000000000000,2025-08-04 14:00:00+00:00,1754406000000000000,2025-08-05 15:00:00+00:00,90000000000000,3637.98,3568.46,['9.39719776 USDT'],-0.01911,-236.03239776 USDT,True
