strategy_id,symbol,exchange,instrument_id,position_type,open_datetime,close_datetime,entry_price,exit_price,quantity,realized_pnl,fees,duration_seconds,return_pct,order_ids
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-03-20 16:00:00+00:00,2025-03-21 13:00:00+00:00,1957.9,1951.45,0.0,-42.61706932,8.31596932,75600.0,-0.32943459829409827,"BINANCE-1-029,BINANCE-1-030"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-03-23 12:00:00+00:00,2025-03-24 04:00:00+00:00,2008.1,2039.57,0.0,-171.2359269,8.3786769,57600.0,-1.567153030227586,"BINANCE-1-031,BINANCE-1-032"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-03-24 05:00:00+00:00,2025-03-26 15:00:00+00:00,2047.96,2011.21,0.0,-193.09629738,8.170297380000001,208800.0,-1.794468641965663,"BINANCE-1-033,BINANCE-1-034"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-03-27 14:00:00+00:00,2025-03-30 19:00:00+00:00,2024.81,1813.38,0.0,1058.28919841,7.74086159,277200.0,10.441967394471574,"BINANCE-1-035,BINANCE-1-036"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-04-01 09:00:00+00:00,2025-04-01 12:00:00+00:00,1884.49,1864.85,0.0,-120.45421573,8.545495729999999,10800.0,-1.0421917866372366,"BINANCE-1-037,BINANCE-1-038"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-04-01 16:00:00+00:00,2025-04-02 01:00:00+00:00,1915.01,1891.71,0.0,-138.41130828,8.49050828,32400.0,-1.2167038292228205,"BINANCE-1-039,BINANCE-1-040"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-04-02 23:00:00+00:00,2025-04-03 01:00:00+00:00,1794.1,1825.37,0.0,-193.46028044,8.560770439999999,7200.0,-1.7429351764115752,"BINANCE-1-041,BINANCE-1-042"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-04-03 15:00:00+00:00,2025-04-04 11:00:00+00:00,1781.42,1783.16,0.0,1.85390537,8.41383463,72000.0,0.09767488857204132,"BINANCE-1-043,BINANCE-1-044"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-04-14 14:00:00+00:00,2025-04-14 15:00:00+00:00,1672.63,1626.96,0.0,278.78513091,8.29648909,3600.0,2.7304305196008682,"BINANCE-1-045,BINANCE-1-046"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-04-16 18:00:00+00:00,2025-04-16 19:00:00+00:00,1565.59,1588.16,0.0,-162.149526,8.583245999999999,3600.0,-1.4416290344215321,"BINANCE-1-047,BINANCE-1-048"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-04-25 13:00:00+00:00,2025-04-25 15:00:00+00:00,1768.11,1805.7,0.0,-233.297734,8.547124,7200.0,-2.1259989480292507,"BINANCE-1-049,BINANCE-1-050"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-04-27 02:00:00+00:00,2025-04-28 20:00:00+00:00,1812.02,1785.11,0.0,146.96852396,8.302176039999999,151200.0,1.4850829461043547,"BINANCE-1-051,BINANCE-1-052"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-04-29 14:00:00+00:00,2025-05-01 11:00:00+00:00,1822.43,1844.79,0.0,-137.64793197,8.47421197,162000.0,-1.226933270413677,"BINANCE-1-053,BINANCE-1-054"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-01 14:00:00+00:00,2025-05-01 16:00:00+00:00,1847.63,1858.69,0.0,-71.00325101,8.39259101,7200.0,-0.5986046989927551,"BINANCE-1-055,BINANCE-1-056"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-05 11:00:00+00:00,2025-05-05 19:00:00+00:00,1803.81,1815.65,0.0,-76.79010374,8.36674374,28800.0,-0.6563884222839489,"BINANCE-1-057,BINANCE-1-058"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-08 15:00:00+00:00,2025-05-08 16:00:00+00:00,2050.56,2049.8,0.0,-4.45792936,8.30732936,3600.0,0.037063046192242766,"BINANCE-1-059,BINANCE-1-060"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-11 01:00:00+00:00,2025-05-12 08:00:00+00:00,2531.81,2576.72,0.0,-192.55594261,8.38003261,111600.0,-1.7738297897551547,"BINANCE-1-061,BINANCE-1-062"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-18 18:00:00+00:00,2025-05-19 18:00:00+00:00,2461.59,2488.87,0.0,-122.27830893,8.275188929999999,86400.0,-1.1082267965014436,"BINANCE-1-063,BINANCE-1-064"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-21 08:00:00+00:00,2025-05-21 17:00:00+00:00,2537.0,2471.5,0.0,255.9547946,8.0757054,32400.0,2.5817895151754033,"BINANCE-1-065,BINANCE-1-066"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-05-29 05:00:00+00:00,2025-06-02 14:00:00+00:00,2721.92,2530.36,0.0,720.70237075,7.99186925,378000.0,7.037679285210441,"BINANCE-1-067,BINANCE-1-068"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-06-02 16:00:00+00:00,2025-06-05 20:00:00+00:00,2545.19,2397.53,0.0,-629.97214048,8.323540479999998,273600.0,-5.801531516311154,"BINANCE-1-069,BINANCE-1-070"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-06-08 23:00:00+00:00,2025-06-09 11:00:00+00:00,2508.32,2540.74,0.0,-142.78668111,8.373361110000001,43200.0,-1.292498564776401,"BINANCE-1-071,BINANCE-1-072"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-06-11 15:00:00+00:00,2025-06-11 19:00:00+00:00,2864.01,2811.94,0.0,-195.95141028,8.18699028,14400.0,-1.8180802441332355,"BINANCE-1-073,BINANCE-1-074"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-06-12 21:00:00+00:00,2025-06-16 21:00:00+00:00,2632.32,2647.68,0.0,-67.896192,8.207232000000001,345600.0,-0.5835156819839371,"BINANCE-1-075,BINANCE-1-076"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-06-23 15:00:00+00:00,2025-06-23 19:00:00+00:00,2247.17,2311.57,0.0,-300.45600136,8.27320136,14400.0,-2.8658267954805527,"BINANCE-1-077,BINANCE-1-078"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-06-23 23:00:00+00:00,2025-07-02 02:00:00+00:00,2410.39,2416.86,0.0,18.9189688,8.0479912,702000.0,0.2684212928198537,"BINANCE-1-079,BINANCE-1-080"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-07-06 22:00:00+00:00,2025-07-07 02:00:00+00:00,2581.54,2575.49,0.0,-31.59940274,8.03465274,14400.0,-0.23435623697483088,"BINANCE-1-081,BINANCE-1-082"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-07-08 15:00:00+00:00,2025-07-08 18:00:00+00:00,2563.83,2623.8,0.0,-242.96842363,8.12590363,10800.0,-2.3390786440598665,"BINANCE-1-083,BINANCE-1-084"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-07-09 13:00:00+00:00,2025-07-21 17:00:00+00:00,2653.6,3768.62,0.0,4158.34225666,9.60250334,1051200.0,42.01914380464275,"BINANCE-1-085,BINANCE-1-086"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-07-29 01:00:00+00:00,2025-07-29 03:00:00+00:00,3756.76,3790.46,0.0,97.99547172,9.64232828,7200.0,0.8970495852809179,"BINANCE-1-087,BINANCE-1-088"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-08-02 18:00:00+00:00,2025-08-03 11:00:00+00:00,3382.05,3483.4,0.0,-370.79059316,9.78189316,61200.0,-2.996703182980731,"BINANCE-1-089,BINANCE-1-090"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-08-04 14:00:00+00:00,2025-08-05 15:00:00+00:00,3637.98,3568.46,0.0,-236.03239776,9.397197760000001,90000.0,-1.9109505824660977,"BINANCE-1-091,BINANCE-1-092"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-08-06 15:00:00+00:00,2025-08-07 15:00:00+00:00,3662.65,3835.15,0.0,543.41982128,9.61517872,86400.0,4.709704721990904,"BINANCE-1-093,BINANCE-1-094"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-08-08 14:00:00+00:00,2025-08-08 15:00:00+00:00,3983.41,3953.0,0.0,-101.29104502,9.574485020000001,3600.0,-0.7634162689755697,"BINANCE-1-095,BINANCE-1-096"
