trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231107-160000-001-001-553,O-20231108-220000-001-001-554,BUY,FLAT,0.000,24.289,1699372800000000000,2023-11-07 16:00:00+00:00,1699480800000000000,2023-11-08 22:00:00+00:00,108000000000000,1859.02,1891.47,['36.43826064 USDT'],0.01746,751.73978936 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231109-150000-001-001-555,O-20231113-000000-001-001-556,BUY,FLAT,0.000,22.324,1699542000000000000,2023-11-09 15:00:00+00:00,1699833600000000000,2023-11-13 00:00:00+00:00,291600000000000,2039.56,2055.42,['36.56653341 USDT'],0.00778,317.49210659 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231113-020000-001-001-557,O-20231113-060000-001-001-558,BUY,FLAT,0.000,22.125,1699840800000000000,2023-11-13 02:00:00+00:00,1699855200000000000,2023-11-13 06:00:00+00:00,14400000000000,2065.01,2041.64,['36.34385250 USDT'],-0.01132,-553.40510250 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231113-220000-001-001-559,O-20231114-200000-001-001-560,SELL,FLAT,0.000,22.045,1699912800000000000,2023-11-13 22:00:00+00:00,1699992000000000000,2023-11-14 20:00:00+00:00,79200000000000,2060.0,1976.26,['35.59174068 USDT'],0.04065,1810.45655932 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231120-120000-001-001-561,O-20231120-160000-001-001-562,SELL,FLAT,0.000,22.924,1700481600000000000,2023-11-20 12:00:00+00:00,1700496000000000000,2023-11-20 16:00:00+00:00,14400000000000,2020.5,2020.89,['37.05792974 USDT'],-0.00019,-45.99828974 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231122-170000-001-001-563,O-20231122-190000-001-001-564,SELL,FLAT,0.000,22.757,1700672400000000000,2023-11-22 17:00:00+00:00,1700679600000000000,2023-11-22 19:00:00+00:00,7200000000000,2034.29,2077.35,['37.42743659 USDT'],-0.02117,-1017.34385659 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231124-170000-001-001-565,O-20231126-210000-001-001-566,SELL,FLAT,0.000,21.752,1700845200000000000,2023-11-24 17:00:00+00:00,1701032400000000000,2023-11-26 21:00:00+00:00,187200000000000,2104.87,2073.9,['36.35864202 USDT'],0.01471,637.30079798 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231128-180000-001-001-567,O-20231128-230000-001-001-568,BUY,FLAT,0.000,22.413,1701194400000000000,2023-11-28 18:00:00+00:00,1701212400000000000,2023-11-28 23:00:00+00:00,18000000000000,2057.02,2048.2,['36.80411834 USDT'],-0.00429,-234.48677834 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231202-190000-001-001-569,O-20231209-090000-001-001-570,BUY,FLAT,0.000,21.299,1701543600000000000,2023-12-02 19:00:00+00:00,1702112400000000000,2023-12-09 09:00:00+00:00,568800000000000,2159.1,2360.05,['38.50135034 USDT'],0.09307,4241.53269966 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231213-030000-001-001-571,O-20231213-050000-001-001-572,BUY,FLAT,0.000,22.197,1702436400000000000,2023-12-13 03:00:00+00:00,1702443600000000000,2023-12-13 05:00:00+00:00,7200000000000,2167.28,2174.67,['38.55130566 USDT'],0.00341,125.48452434 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231220-160000-001-001-573,O-20231221-130000-001-001-574,SELL,FLAT,0.000,21.652,1703088000000000000,2023-12-20 16:00:00+00:00,1703163600000000000,2023-12-21 13:00:00+00:00,75600000000000,2224.76,2253.5,['38.78531421 USDT'],-0.01292,-661.06379421 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231221-150000-001-001-575,O-20231221-180000-001-001-576,SELL,FLAT,0.000,21.410,1703170800000000000,2023-12-21 15:00:00+00:00,1703181600000000000,2023-12-21 18:00:00+00:00,10800000000000,2234.5,2231.96,['38.25076344 USDT'],0.00114,16.13063656 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231222-090000-001-001-577,O-20231224-230000-001-001-578,BUY,FLAT,0.000,20.642,1703235600000000000,2023-12-22 09:00:00+00:00,1703458800000000000,2023-12-24 23:00:00+00:00,223200000000000,2318.03,2265.43,['37.84471252 USDT'],-0.02269,-1123.61391252 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231225-170000-001-001-579,O-20231227-150000-001-001-580,SELL,FLAT,0.000,20.723,1703523600000000000,2023-12-25 17:00:00+00:00,1703689200000000000,2023-12-27 15:00:00+00:00,165600000000000,2281.85,2345.01,['38.35296791 USDT'],-0.02768,-1347.21764791 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20231229-160000-001-001-581,O-20240102-010000-001-001-582,SELL,FLAT,0.000,20.259,1703865600000000000,2023-12-29 16:00:00+00:00,1704157200000000000,2024-01-02 01:00:00+00:00,291600000000000,2300.87,2382.05,['37.94851051 USDT'],-0.03528,-1682.57413051 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240102-020000-001-001-583,O-20240102-090000-001-001-584,SELL,FLAT,0.000,19.191,1704160800000000000,2024-01-02 02:00:00+00:00,1704186000000000000,2024-01-02 09:00:00+00:00,25200000000000,2385.0,2417.03,['36.86230309 USDT'],-0.01343,-651.55003309 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240103-120000-001-001-585,O-20240108-190000-001-001-586,SELL,FLAT,0.000,20.202,1704283200000000000,2024-01-03 12:00:00+00:00,1704740400000000000,2024-01-08 19:00:00+00:00,457200000000000,2249.55,2355.24,['37.21038703 USDT'],-0.04698,-2172.35976703 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240111-000000-001-001-587,O-20240112-170000-001-001-588,BUY,FLAT,0.000,17.015,1704931200000000000,2024-01-11 00:00:00+00:00,1705078800000000000,2024-01-12 17:00:00+00:00,147600000000000,2607.06,2604.52,['35.47001348 USDT'],-0.00097,-78.68811348 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240116-140000-001-001-589,O-20240116-160000-001-001-590,SELL,FLAT,0.000,17.482,1705413600000000000,2024-01-16 14:00:00+00:00,1705420800000000000,2024-01-16 16:00:00+00:00,7200000000000,2535.18,2575.37,['35.73705404 USDT'],-0.01585,-738.33863404 USDT,True
