total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
21581.47470438,0.00000000,21581.47470438,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21577.15841689,377.67515520,21199.48326169,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '377.67515520', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21451.08976793,0.00000000,21451.08976793,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21446.79951581,375.39706050,21071.40245531,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '375.39706050', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21393.77187653,0.00000000,21393.77187653,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21389.49309546,374.39334380,21015.09975166,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '374.39334380', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23124.57501170,0.00000000,23124.57501170,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23119.95007167,404.68225280,22715.26781887,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '404.68225280', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23182.03363756,0.00000000,23182.03363756,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23177.39722036,405.68650535,22771.71071501,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '405.68650535', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22897.84343411,0.00000000,22897.84343411,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22893.26383044,400.71532095,22492.54850949,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '400.71532095', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23316.62294279,0.00000000,23316.62294279,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23311.95959527,408.04290800,22903.91668727,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '408.04290800', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23066.91686444,0.00000000,23066.91686444,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23062.30347786,403.67132610,22658.63215176,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '403.67132610', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23084.38018304,0.00000000,23084.38018304,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23079.76330069,403.97720580,22675.78609489,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '403.97720580', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22900.29126839,0.00000000,22900.29126839,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22895.71124265,400.75225225,22494.95899040,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '400.75225225', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22564.06676344,0.00000000,22564.06676344,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22559.55396897,394.86951630,22164.68445267,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '394.86951630', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24824.89335031,0.00000000,24824.89335031,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24819.92842497,434.43096725,24385.49745772,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '434.43096725', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24700.69303972,0.00000000,24700.69303972,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24695.75285458,432.26619975,24263.48665483,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '432.26619975', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24724.70952276,0.00000000,24724.70952276,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24719.76451678,432.68802360,24287.07649318,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '432.68802360', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24643.91174525,0.00000000,24643.91174525,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24638.98300048,431.26516720,24207.71783328,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '431.26516720', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24502.64667978,0.00000000,24502.64667978,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24497.74620316,428.79170460,24068.95449856,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '428.79170460', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24521.23020820,0.00000000,24521.23020820,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24516.32597522,429.12038610,24087.20558912,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '429.12038610', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24364.99669564,0.00000000,24364.99669564,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24360.12363111,426.39314655,23933.73048456,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '426.39314655', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24269.32141199,0.00000000,24269.32141199,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24264.46749445,424.71778440,23839.74971005,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '424.71778440', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24038.47915851,0.00000000,24038.47915851,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24033.67145057,420.67444440,23612.99700617,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '420.67444440', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24114.52779330,0.00000000,24114.52779330,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24109.70495048,421.99874640,23687.70620408,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '421.99874640', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
25228.58428693,0.00000000,25228.58428693,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
25223.53850197,441.50618365,24782.03231832,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '441.50618365', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24984.69388397,0.00000000,24984.69388397,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24979.69694768,437.23192520,24542.46502248,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '437.23192520', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24668.34320315,0.00000000,24668.34320315,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24663.40958071,431.69196350,24231.71761721,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '431.69196350', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
